conflict,triple,description,answer-antske,answer-antske_1,answer-antske_2,answer-lea,answer-pia,answer-pia run1,answer-pia_run1,answer-pia_run2,answer-piek,expected_behavior-antske,expected_behavior-antske_1,expected_behavior-antske_2,expected_behavior-lea,expected_behavior-pia,expected_behavior-pia run1,expected_behavior-pia_run1,expected_behavior-pia_run2,expected_behavior-piek,reason-antske,reason-antske_1,reason-antske_2,reason-pia,reason-pia run1,reason-pia_run1,reason-pia_run2,reason-piek,comment-antske,comment-lea,comment-pia,comment-pia run1,comment-pia_run1,comment-pia_run2,comment-piek
all,impossible-stock-fly,I think it is impossible for (a/an) stock to fly/be used for flying.,-,-,false,-,-,-,true,-,false,-,-,disagreement_ambiguous_concept-disagreement_odd_triple,-,-,-,disagreement_ambiguous_concept-disagreement_odd_pair,-,disagreement_conceptualization,-,-,"""depends on what the stock consists of",-,-,-,-,-,-,-,-,-,-,-,"""stock of birds (goose, chicken with their wings, ducks, pigeons) could fly away"
all,implied_category-cruiser-wheels,I know that (a/an) cruiser has (a/an) wheels as most or all other things similar to (a/an) cruiser have (a/an) wheels. ,-,-,false,-,-,-,true,-,true,-,-,disagreement_ambiguous_concept-disagreement_ambiguous_property,-,-,-,disagreement_ambiguous_concept,-,disagreement_agreement,-,-,"""steering wheel or other wheel?",-,-,-,-,-,-,-,-,-,-,-,-
all,typical_of_concept-cruiser-wheels,``Wheels'' is one for the first things which come to mind when I hear ``cruiser' because wheels is one of the typical parts of (a/an) cruiser'.,-,-,false,-,-,-,true,-,false,-,-,disagreement_agreement-disagreement_ambiguous_property,-,-,-,disagreement_ambiguous_concept,-,disagreement_agreement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""other wheel things come first"
all,affording_activity-cruiser-wheels,I know that having (a/an) wheels is necessary for many things (a/an) cruiser does or is used for. ,-,-,false,-,-,-,true,-,true,-,-,disagreement_ambiguous_property,-,-,-,disagreement_ambiguous_concept,-,disagreement_agreement,-,-,"""steering wheel",-,-,-,-,-,-,-,-,-,-,-,-
all,unusual-cruiser-wheels,"Usually, (a/an) cruiser does not have wheels, but there could be a highly unusual situation in which (a/an) cruiser have wheels.",-,-,true,-,-,-,false,-,false,-,-,disagreement_agreement-disagreement_ambiguous_concept-disagreement_imagination,-,-,-,disagreement_ambiguous_concept,-,disagreement_agreement,-,-,-,-,-,-,-,-,-,-,-,-,"""Cruiser can mean car or boat/ship. I went with car.",-,-
all,typical_of_concept-rhino-black,``Black'' is one for the first things which come to mind when I hear ``rhino' because black is one of the typical colors of (a/an) rhino'.,-,-,false,-,-,-,false,-,true,-,-,disagreement_vague,-,-,-,disagreement_agreement,-,disagreement_agreement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
all,unusual-rhino-black,"Usually, (a/an) rhino is not black, but there could be a highly unusual situation in which (a/an) rhino is black.",-,-,false,-,-,-,true,-,false,-,-,disagreement_imagination-disagreement_vague,-,-,-,disagreement_agreement,-,disagreement_agreement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""black or grey"
all,unusual-pen-made_of_wood,"Usually, (a/an) pen is not made_of_wood, but there could be a highly unusual situation in which (a/an) pen are made_of_wood.",-,-,true,-,-,-,false,-,false,-,-,,-,-,-,disagreement_agreement,-,disagreement_odd_triple,-,-,"""high unusual or just unusual",-,-,-,-,-,-,-,-,-,-,-,"""Usually plastic or metal but it is not so unusual to have wooden pens. I had one."
all,creative-leopard-yellow,"I could say (a/an) leopard is yellow, but I would most certainly not mean it literally.",false,-,-,-,-,-,-,false,true,disagreement_agreement-disagreement_imagination-disagreement_vague,-,-,-,-,-,-,disagreement_imagination-disagreement_vague,disagreement_agreement-disagreement_vague,-,-,-,-,-,-,-,"""people may not call it yellow or people do not see a metaphorical reading",-,-,-,-,-,-,-
all,afforded_unusual-washer-roll,All or most  washer(s) can roll/be used for rolling. This is not what they normally do or are used for. ,false,-,-,-,-,-,-,false,true,disagreement_agreement,-,-,-,-,-,-,disagreement_agreement,disagreement_imagination,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""When thrown of a mountain they roll but with force and difficulty"
all,impossible-shovel-roll,I think it is impossible for (a/an) shovel to roll/be used for rolling.,false,-,-,-,false,-,-,-,true,disagreement_agreement-disagreement_imagination,-,-,-,disagreement_imagination,-,-,-,disagreement_imagination-disagreement_odd_triple,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""Under normal conditions not, they resist rolling."
all,unusual-carrot-red,"Usually, (a/an) carrot is not red, but there could be a highly unusual situation in which (a/an) carrot is red.",true,-,-,-,false,-,-,-,true,disagreement_imagination-disagreement_vague,-,-,-,disagreement_imagination-disagreement_specialized_knowledge,-,-,-,disagreement_specialized_knowledge,"""unusual or highly unusual",-,-,-,-,-,-,-,-,-,-,-,-,-,"""people may not know this"
all,typical_of_property-buttercup-yellow,``Buttercup'' is one of the first things which come to mind when I hear ``yellow' because (a/an) buttercup is a typical example of things which are yellow'. ,false,-,-,-,-,false,-,-,true,disagreement_agreement,-,-,-,-,disagreement_agreement,-,-,,"""typicality is personal",-,-,-,-,-,-,"""People may not think of buttercup first but of other things that are more common and yellow. But they will confirm if presented with this association.",-,-,-,-,-,-,-
all,variability_limited-buttercup-yellow,You can find (a/an) buttercup which is yellow. Yellow is one of a few possible colors (a/an) buttercup usually has. There is only a limited range of possible colors.,false,-,-,true,-,false,-,-,false,disagreement_agreement,-,-,disagreement_agreement-disagreement_specialized_knowledge,-,disagreement_agreement,-,-,disagreement_agreement,"""I can imagine people saying true to the few options question when there is only one option (like there is here).",-,-,-,-,-,-,"""All yellow",-,"""I would generally expect the annotators to agree, except if some think buttercups can only be yellow and therefore think that it doesn't have a range of colours.",-,-,-,-,-
all,variability_limited-tire-roll,You can find (a/an) tire which can roll/be used for rolling. This distinguishes a certain type of tire from others. ,false,-,-,-,-,true,-,-,false,disagreement_agreement,-,-,-,-,disagreement_agreement,-,-,disagreement_conceptualization,-,-,-,-,-,-,-,"""all tires can roll",-,-,-,-,-,-,-
all,variability_limited-recliner-square,You can find (a/an) recliner which is square. Square is one of a few possible shapes (a/an) recliner usually has. There is only a limited range of possible shapes.,false,false,-,-,false,-,-,-,true,disagreement_odd_pair-disagreement_odd_triple,disagreement_agreement-disagreement_odd_pair-disagreement_odd_triple-disagreement_vague,-,-,disagreement_odd_pair-disagreement_vague,-,-,-,disagreement_vague,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""squarish is better"
all,variability_open-recliner-square,You can find (a/an) recliner which is square. Square is one of many possible shapes (a/an) recliner usually has. The range of shapes is almost unlimited. ,false,false,-,-,true,-,-,-,false,disagreement_agreement-disagreement_odd_pair,disagreement_agreement-disagreement_odd_pair-disagreement_vague,-,-,disagreement_vague,-,-,-,disagreement_imagination-disagreement_vague,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""Square can be global shape but in fact they have complex shapes"
all,creative-recliner-square,"I could say (a/an) recliner is square, but I would most certainly not mean it literally.",false,false,-,-,true,-,-,-,false,disagreement_agreement-disagreement_odd_pair,disagreement_agreement-disagreement_odd_pair-disagreement_vague,-,-,disagreement_ambiguous_property,-,-,-,disagreement_odd_triple-disagreement_vague,-,-,-,-,-,-,-,-,-,-,"""square in the sense of conservative, old-fashioned, small-minded",-,-,-,"""There is no figurative meaning but I would call them square"
all,unusual-recliner-square,"Usually, (a/an) recliner is not square, but there could be a highly unusual situation in which (a/an) recliner is square.",-,true,-,-,false,-,-,-,false,-,disagreement_odd_pair-disagreement_odd_triple-disagreement_vague,-,-,disagreement_odd_pair-disagreement_vague,-,-,-,disagreement_vague,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""They are squarish but have complex shapes"
all,unusual-leopard-yellow,"Usually, (a/an) leopard is not yellow, but there could be a highly unusual situation in which (a/an) leopard is yellow.",-,false,-,-,false,-,-,-,true,-,disagreement_agreement-disagreement_vague,-,-,disagreement_imagination-disagreement_vague,-,-,-,disagreement_vague,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""Overall yellowish but debatable what yellow is but also they have mixed colours"
all,implied_category-pen-round,I know that (a/an) pen is round as most or all other things similar to (a/an) pen are round. ,-,true,-,-,true,-,-,-,false,-,disagreement_conceptualization-disagreement_vague,-,-,disagreement_conceptualization-disagreement_vague,-,-,-,disagreement_conceptualization,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""There is no category of round things and pens would not belong to it if there would be such a category"
all,typical_of_concept-pen-round,``Round'' is one for the first things which come to mind when I hear ``pen' because round is one of the typical shapes of (a/an) pen'.,true,true,-,-,false,-,-,-,true,disagreement_vague,disagreement_vague,-,-,disagreement_vague,-,-,-,disagreement_ambiguous_property-disagreement_imagination,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""One dimension is never round but the other is usually round"
all,affording_activity-pen-round,I know that being round is necessary for many things (a/an) pen does or is used for. ,-,false,-,-,true,-,-,-,false,-,disagreement_agreement,-,-,disagreement_vague,-,-,-,disagreement_agreement-disagreement_ambiguous_property,-,-,-,-,-,-,-,-,-,-,"""I think the cylindric (i.e. round-ish) shape is nice for holding a pen in your hand.",-,-,-,"""roundness is not essential, you could have square pens in the same dimension. Note that pen can also stand for an area to keep animals"
all,creative-washer-roll,"I could say (a/an) washer rolls/is used for rolling, but I would most certainly not mean it literally.",-,false,-,-,true,-,-,-,false,-,disagreement_imagination,-,-,,-,-,-,disagreement_agreement,-,-,-,-,-,-,-,-,-,-,"""rolling as a somewhat odd word for spinning",-,-,-,-
all,variability_limited-plaice-lay_eggs,You can find (a/an) plaice which can lay_eggs/be used for laying eggs. This distinguishes a certain type of plaice from others. ,-,false,-,-,true,-,-,-,false,-,disagreement_conceptualization,-,-,disagreement_conceptualization,-,-,-,disagreement_conceptualization-disagreement_specialized_knowledge,-,"""female/male makes this true, otherwise it is not (using false here, because I annotated species elsewhere as well)",-,-,-,-,-,-,-,-,"""male vs female fish",-,-,-,"""all fish lay eggs"
behavior,creative-shovel-roll,"I could say (a/an) shovel rolls/is used for rolling, but I would most certainly not mean it literally.",false,-,-,-,-,-,false,-,false,disagreement_agreement,-,-,-,-,-,disagreement_odd_triple,-,disagreement_agreement,-,-,-,-,-,-,-,"""Roll like a shovel for somebody that rolls in a funny way",-,-,-,-,-,-,-
behavior,unusual-shovel-roll,"Usually, (a/an) shovel cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) shovel can roll.",true,-,-,-,-,-,true,-,true,disagreement_agreement-disagreement_imagination,-,-,-,-,-,disagreement_imagination,-,disagreement_imagination,-,-,-,-,-,-,-,"""Roll along the long axis but with difficulty and some force",-,-,-,-,-,-,-
behavior,typical_of_concept-freebooter-dangerous,``Dangerous'' is one for the first things which come to mind when I hear ``freebooter' because dangerous is one of the typical evaluations of (a/an) freebooter'.,true,-,-,-,-,-,true,-,true,disagreement_agreement-disagreement_ambiguous_concept,-,-,-,-,-,disagreement_ambiguous_concept-disagreement_conceptualization,-,disagreement_agreement,-,-,-,-,-,-,-,-,-,-,-,-,"""I think this is more a conceptualization issue than ambiguity. Possibly influenced by first language.",-,-
behavior,variability_limited-freebooter-dangerous,You can find (a/an) freebooter which is dangerous. (A/an) freebooter is usually either dangerous or not dangerous. It cannot be a bit more or less dangerous.,false,-,-,-,-,-,false,-,false,disagreement_agreement-disagreement_odd_triple,-,-,-,-,-,disagreement_agreement,-,disagreement_conceptualization-disagreement_imagination,-,-,-,-,-,-,-,"""Usually they are dangerous but the choice between dangerous and not-dangerous is strange as being dangerous is always scalar.",-,-,-,-,-,-,-
behavior,rare-freebooter-dangerous,"I think (a/an) freebooter can be dangerous, but this is rare or uncommon.",false,-,-,-,-,-,false,-,false,disagreement_agreement-disagreement_ambiguous_concept,-,-,-,-,-,disagreement_agreement,-,disagreement_agreement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
behavior,unusual-freebooter-dangerous,"Usually, (a/an) freebooter is not dangerous, but there could be a highly unusual situation in which (a/an) freebooter is dangerous.",false,-,-,-,-,-,false,-,false,disagreement_agreement-disagreement_ambiguous_concept,-,-,-,-,-,disagreement_agreement,-,disagreement_agreement,"""main meaning is dangerous",-,-,-,-,-,-,-,-,-,-,-,-,-,-
behavior,implied_category-pineapple-yellow,I know that (a/an) pineapple is yellow as most or all other things similar to (a/an) pineapple are yellow. ,false,-,-,-,-,-,false,-,false,disagreement_agreement,-,-,-,-,-,disagreement_agreement-disagreement_conceptualization,-,disagreement_odd_triple,-,-,-,-,-,,-,-,-,-,-,-,"""Yellow(ish) tropical fruits (mango, banana, papaya)...",-,"""There is not category of yellow fruit but some fruits are also yellow"
behavior,typical_of_concept-pineapple-yellow,``Yellow'' is one for the first things which come to mind when I hear ``pineapple' because yellow is one of the typical colors of (a/an) pineapple'.,true,-,-,-,-,-,true,-,true,disagreement_agreement,-,-,-,-,-,disagreement_vague,-,disagreement_ambiguous_property,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""inside yellow outside green, brown"
behavior,affording_activity-pineapple-yellow,I know that being yellow is necessary for many things (a/an) pineapple does or is used for. ,false,-,-,-,-,-,false,-,false,disagreement_agreement-disagreement_odd_triple,-,-,-,-,-,disagreement_agreement,-,disagreement_odd_triple,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""yellow is not necessary for pineapples, colours are often not necessary."
behavior,creative-carrot-red,"I could say (a/an) carrot is red, but I would most certainly not mean it literally.",false,-,-,-,-,-,false,-,false,disagreement_agreement,-,-,-,-,-,disagreement_agreement,-,disagreement_agreement-disagreement_vague,-,-,-,-,-,-,-,"""carrots are usually orange and some are red but people may not know this",-,-,-,-,-,-,-
behavior,impossible-carrot-red,I think it is impossible for (a/an) carrot to be red.,false,-,-,-,-,-,false,-,false,disagreement_agreement-disagreement_specialized_knowledge,-,-,-,-,-,disagreement_imagination-disagreement_specialized_knowledge,-,disagreement_specialized_knowledge,-,-,-,-,-,,-,"""carrots are usually orange and some are red but people may not know this",-,-,-,-,"""People who don't know of red carrots and are not very creative thinkers could say impossible.",-,-
behavior,implied_category-wine-red,I know that (a/an) wine is red as most or all other things similar to (a/an) wine are red. ,false,-,-,-,-,-,false,-,false,disagreement_agreement,-,-,-,-,-,disagreement_agreement,-,disagreement_odd_triple,-,-,-,-,-,-,-,"""Wines can be red, rose, white but there is no category of red things or drinks that wine belongs to",-,-,-,-,-,-,-
behavior,typical_of_concept-wine-red,``Red'' is one for the first things which come to mind when I hear ``wine' because red is one of the typical colors of (a/an) wine'.,true,-,-,-,-,-,true,-,true,disagreement_agreement,-,-,-,-,-,,-,disagreement_agreement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
behavior,variability_open-wine-red,You can find (a/an) wine which is red. Red is one of many possible colors (a/an) wine usually has. The range of colors is almost unlimited. ,false,-,-,-,-,-,false,-,false,disagreement_agreement,-,-,-,-,-,disagreement_agreement,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,"""Not unlimited: red, white, rose"
behavior,afforded_unusual-arrow-fly,All or most  arrow(s) can fly/be used for flying. This is not what they normally do or are used for. ,false,-,-,-,false,-,-,-,false,disagreement_agreement,-,-,-,disagreement_agreement,-,-,-,disagreement_conceptualization,"""some may say that arrows are usually just stored and only occasionally actually used.",-,-,-,-,-,-,-,-,-,-,-,-,-,"""anything launched will fly but arrows are designed for it. They do not fly like birds though."
behavior,rare-pin-roll,"I think there is a pin  which can roll/be used for rolling, but this is rare or uncommon.",false,-,-,-,false,-,-,-,false,,-,-,-,disagreement_agreement,-,-,-,disagreement_odd_triple,"""I don't think it is rare, but it is also not very common",-,-,"""Possibly confused with: All/most pins can roll, but this is not what they usually do/are used for.",-,-,-,-,-,-,-,-,-,-,"""Most pens roll but they are not designed for that purpose"
behavior,affording_activity-buttercup-yellow,I know that being yellow is necessary for many things (a/an) buttercup does or is used for. ,false,-,-,-,false,-,-,-,false,disagreement_agreement-disagreement_odd_triple,-,-,-,disagreement_odd_triple,-,-,-,disagreement_odd_triple,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""They are all yellow but this is not necessary. You could grow white buttercups through breeding I assume."
behavior,implied_category-tire-roll,I know that (a/an) tire can roll/be used for rolling as most or all other things similar to (a/an) tire roll. ,true,-,-,-,true,-,-,-,true,disagreement_conceptualization-disagreement_odd_triple,-,-,-,disagreement_conceptualization,-,-,-,disagreement_ambiguous_property,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""wheel and tire can be mixed"
behavior,creative-acaridae-dangerous,"I could say (a/an) acaridae is dangerous, but I would most certainly not mean it literally.",-,-,false,-,-,-,false,-,false,-,-,disagreement_imagination,-,-,-,disagreement_specialized_knowledge,-,disagreement_agreement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""If I say this I mean it literally but they are mildly dangerous"
behavior,implied_category-acaridae-dangerous,I know that (a/an) acaridae is dangerous as most or all other things similar to (a/an) acaridae are dangerous. ,-,-,false,-,-,-,false,-,false,-,-,disagreement_agreement,-,-,-,disagreement_agreement-disagreement_specialized_knowledge,-,disagreement_conceptualization,-,-,-,-,-,-,-,-,-,-,-,-,"""Acaridae are a type of mites and most mites are harmless. This is easy to google, but some people might not do this and guess instead.",-,"""Does not follow from the category"
behavior,affording_activity-acaridae-dangerous,I know that being dangerous is necessary for many things (a/an) acaridae does or is used for. ,-,-,false,-,-,-,false,-,false,-,-,disagreement_agreement,-,-,-,disagreement_specialized_knowledge,-,disagreement_specialized_knowledge,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""They cannot help that we have allergies."
behavior,variability_limited-acaridae-dangerous,You can find (a/an) acaridae which is dangerous. (A/an) acaridae is usually either dangerous or not dangerous. It cannot be a bit more or less dangerous.,-,-,false,-,-,-,false,-,false,-,-,disagreement_agreement,-,-,-,disagreement_specialized_knowledge,-,disagreement_conceptualization-disagreement_specialized_knowledge-disagreement_vague,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""Being dangerous is scalar and vague so I disagree"
behavior,variability_open-acaridae-dangerous,"You can find (a/an) acaridae which is dangerous. (A/an) acaridae is usually either dangerous, a bit more or less dangerous or the opposite of dangerous.",-,-,false,-,-,-,false,-,false,-,-,disagreement_agreement,-,-,-,disagreement_specialized_knowledge,-,disagreement_specialized_knowledge,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""This does not vary. It is either true or not."
behavior,implied_category-stock-fly,I know that (a/an) stock can fly/be used for flying as most or all other things similar to (a/an) stock fly. ,-,-,false,-,-,-,false,-,false,-,-,disagreement_ambiguous_concept-disagreement_odd_pair,-,-,-,disagreement_ambiguous_concept-disagreement_odd_pair,-,disagreement_conceptualization,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""Only true for stock of birds and mostly they are not birds."
behavior,typical_of_property-stock-fly,``Stock'' is one of the first things which come to mind when I hear ``fly' because (a/an) stock is a typical example of things which fly/are used for flying'. ,-,-,false,-,-,-,false,-,false,-,-,disagreement_agreement-disagreement_ambiguous_concept-disagreement_odd_pair,-,-,-,disagreement_ambiguous_concept-disagreement_odd_pair,-,disagreement_agreement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
behavior,typical_of_concept-stock-fly,``Fly'' is one for the first things which come to mind when I hear ``stock' because flying is one of the typical movements of (a/an) stock'.,-,-,false,-,-,-,false,-,false,-,-,disagreement_agreement-disagreement_ambiguous_concept,-,-,-,disagreement_ambiguous_concept-disagreement_odd_pair,-,disagreement_conceptualization-disagreement_vague,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""only birds as stock fly but as stock you do not think of flying. You don't keep birds for flying."
behavior,afforded_unusual-stock-fly,All or most  stock(s) can fly/be used for flying. This is not what they normally do or are used for. ,-,-,false,-,-,-,false,-,false,-,-,disagreement_agreement-disagreement_ambiguous_concept,-,-,-,disagreement_ambiguous_concept-disagreement_odd_pair,-,disagreement_conceptualization-disagreement_vague,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""even stock as birds are not kept for flying"
behavior,afforded_usual-stock-fly,I know that all or most stock(s) fly regularly or are used for flying regularly. ,-,-,false,-,-,-,false,-,false,-,-,disagreement_agreement-disagreement_odd_pair,-,-,-,disagreement_ambiguous_concept-disagreement_odd_pair,-,disagreement_vague,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""even if birds they are not kept for flying"
behavior,variability_limited-stock-fly,You can find (a/an) stock which can fly/be used for flying. This distinguishes a certain type of stock from others. ,-,-,-,-,-,-,false,-,false,-,-,-,-,-,-,disagreement_ambiguous_concept-disagreement_odd_pair,-,disagreement_ambiguous_property-disagreement_odd_triple,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""multiple meanings and odd question even for the animal meaning"
behavior,creative-cruiser-wheels,"I could say (a/an) cruiser has wheels, but I would most certainly not mean it literally.",-,-,false,-,-,-,false,-,false,-,-,disagreement_agreement-disagreement_ambiguous_concept-disagreement_ambiguous_property,-,-,-,disagreement_ambiguous_concept-disagreement_imagination,-,disagreement_agreement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
behavior,typical_of_property-cruiser-wheels,``Cruiser'' is one of the first things which come to mind when I hear ``wheels' because (a/an) cruiser is a typical example of things which have (a/an) wheels'. ,-,-,false,-,-,-,false,-,false,-,-,disagreement_agreement-disagreement_ambiguous_concept,-,-,-,disagreement_agreement,-,disagreement_agreement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""Cruiser is too specific and other things come to mind first"
behavior,variability_limited-cruiser-wheels,You can find (a/an) cruiser which has (a/an) wheels. (A/an) cruiser usually either has an wheels or no wheels. This distinguishes a certain type of cruiser from others.,-,-,false,-,-,-,false,-,false,-,-,disagreement_agreement-disagreement_ambiguous_concept-disagreement_ambiguous_property,-,-,-,disagreement_ambiguous_concept,-,disagreement_agreement,-,-,"""wheels (plural) does seem to disambiguate",-,-,-,-,-,-,-,-,-,-,-,"""always wheels as a hyponym of wheeled vehicles"
behavior,variability_open-cruiser-wheels,You can find (a/an) cruiser which has (a/an) wheels.  (A/an) cruiser usually either have an wheels or no wheels but this does not distinguish a certain type of cruiser from others. ,-,-,false,-,-,-,false,-,false,-,-,disagreement_ambiguous_concept-disagreement_ambiguous_property,-,-,-,disagreement_ambiguous_concept,-,disagreement_agreement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
behavior,rare-cruiser-wheels,"I think (a/an) cruiser can have (a/an) wheels, but this is rare or uncommon.",-,-,false,-,-,-,false,-,false,-,-,disagreement_ambiguous_concept-disagreement_ambiguous_property,-,-,-,disagreement_ambiguous_concept,-,disagreement_agreement,-,-,"""other form: just rare or extremely rare?",-,-,-,-,-,-,-,-,-,-,-,-
behavior,impossible-cruiser-wheels,I think it is impossible for (a/an) cruiser to have wheels.,-,-,false,-,-,-,false,-,false,-,-,disagreement_ambiguous_concept-disagreement_ambiguous_property,-,-,-,disagreement_ambiguous_concept-disagreement_imagination,-,disagreement_agreement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
behavior,creative-rhino-black,"I could say (a/an) rhino is black, but I would most certainly not mean it literally.",-,-,false,-,-,-,false,-,false,-,-,disagreement_vague,-,-,-,disagreement_agreement-disagreement_imagination,-,disagreement_agreement,-,-,"""One could imagine someone seeing the fact that black rhinos are grey as a form of not meaning it literally",-,-,-,-,-,-,-,-,-,-,-,"""I would mean it literally"
