quid,relation,property,concept,answer,expected_agreement,disagreement_cnt,workerid,completionurl
rare-plaice-lay_eggs,rare,lay_eggs,plaice,false,possible_disagreement,1,gold,gold
unusual-plaice-lay_eggs,unusual,lay_eggs,plaice,false,possible_disagreement,1,gold,gold
impossible-plaice-lay_eggs,impossible,lay_eggs,plaice,false,possible_disagreement,1,gold,gold
typical_of_property-recliner-square,typical_of_property,square,recliner,false,agreement,0,gold,gold
typical_of_property-pen-round,typical_of_property,round,pen,false,agreement,0,gold,gold
typical_of_property-washer-roll,typical_of_property,roll,washer,false,agreement,0,gold,gold
typical_of_concept-washer-roll,typical_of_concept,roll,washer,false,agreement,0,gold,gold
afforded_usual-washer-roll,afforded_usual,roll,washer,false,agreement,0,gold,gold
variability_limited-washer-roll,variability_limited,roll,washer,false,agreement,0,gold,gold
affording_activity-freebooter-dangerous,affording_activity,dangerous,freebooter,true,possible_disagreement,3,gold,gold
typical_of_property-wine-red,typical_of_property,red,wine,false,agreement,0,gold,gold
affording_activity-wine-red,affording_activity,red,wine,false,possible_disagreement,1,gold,gold
creative-shovel-roll,creative,roll,shovel,false,possible_disagreement,1,gold,gold
unusual-shovel-roll,unusual,roll,shovel,true,disagreement,3,gold,gold
typical_of_concept-freebooter-dangerous,typical_of_concept,dangerous,freebooter,true,possible_disagreement,3,gold,gold
variability_limited-freebooter-dangerous,variability_limited,dangerous,freebooter,false,possible_disagreement,3,gold,gold
rare-freebooter-dangerous,rare,dangerous,freebooter,false,possible_disagreement,1,gold,gold
unusual-freebooter-dangerous,unusual,dangerous,freebooter,false,possible_disagreement,1,gold,gold
implied_category-pineapple-yellow,implied_category,yellow,pineapple,false,possible_disagreement,2,gold,gold
typical_of_concept-pineapple-yellow,typical_of_concept,yellow,pineapple,true,possible_disagreement,2,gold,gold
affording_activity-pineapple-yellow,affording_activity,yellow,pineapple,false,possible_disagreement,2,gold,gold
creative-carrot-red,creative,red,carrot,false,possible_disagreement,1,gold,gold
impossible-carrot-red,impossible,red,carrot,false,disagreement,4,gold,gold
implied_category-wine-red,implied_category,red,wine,false,possible_disagreement,1,gold,gold
typical_of_concept-wine-red,typical_of_concept,red,wine,true,agreement,0,gold,gold
variability_open-wine-red,variability_open,red,wine,false,agreement,0,gold,gold
implied_category-shovel-roll,implied_category,roll,shovel,false,agreement,0,gold,gold
typical_of_property-shovel-roll,typical_of_property,roll,shovel,false,agreement,0,gold,gold
typical_of_concept-shovel-roll,typical_of_concept,roll,shovel,false,agreement,0,gold,gold
afforded_unusual-shovel-roll,afforded_unusual,roll,shovel,false,agreement,0,gold,gold
afforded_usual-shovel-roll,afforded_usual,roll,shovel,false,agreement,0,gold,gold
variability_limited-shovel-roll,variability_limited,roll,shovel,false,agreement,0,gold,gold
typical_of_property-freebooter-dangerous,typical_of_property,dangerous,freebooter,false,agreement,0,gold,gold
creative-freebooter-dangerous,creative,dangerous,freebooter,false,agreement,0,gold,gold
impossible-freebooter-dangerous,impossible,dangerous,freebooter,false,agreement,0,gold,gold
typical_of_property-pineapple-yellow,typical_of_property,yellow,pineapple,false,agreement,0,gold,gold
variability_open-pineapple-yellow,variability_open,yellow,pineapple,false,agreement,0,gold,gold
variability_limited-wine-red,variability_limited,red,wine,true,agreement,0,gold,gold
creative-wine-red,creative,red,wine,false,agreement,0,gold,gold
rare-wine-red,rare,red,wine,false,agreement,0,gold,gold
unusual-wine-red,unusual,red,wine,false,agreement,0,gold,gold
impossible-wine-red,impossible,red,wine,false,agreement,0,gold,gold
implied_category-arrow-fly,implied_category,fly,arrow,NOGOLD,disagreement,3,gold,gold
afforded_unusual-arrow-fly,afforded_unusual,fly,arrow,false,possible_disagreement,1,gold,gold
rare-pin-roll,rare,roll,pin,false,possible_disagreement,1,gold,gold
affording_activity-buttercup-yellow,affording_activity,yellow,buttercup,false,disagreement,3,gold,gold
implied_category-tire-roll,implied_category,roll,tire,true,disagreement,4,gold,gold
typical_of_property-tire-roll,typical_of_property,roll,tire,false,agreement,0,gold,gold
